epoch,miou,pixel_accuracy,loss,timestamp,phase
1,0.5555134852501077,0.9258746932038163,0.13168334980717802,2025-12-20 18:08:05,train
2,0.6682685058597742,0.9644484393364561,0.09501307968676617,2025-12-20 18:09:44,train
3,0.6814654202607456,0.9669522310780213,0.08953411072756337,2025-12-20 18:11:24,train
4,0.6899488505584994,0.9685963655995057,0.08713992157604843,2025-12-20 18:13:04,train
5,0.7032669571311059,0.9698904932072733,0.08345684600351132,2025-12-20 18:14:45,train
6,0.7024092559706264,0.9705096894660882,0.08392280643492674,2025-12-20 18:16:29,train
7,0.7192591678493824,0.9725294535138965,0.07848126368712535,2025-12-20 18:18:19,train
8,0.7224325170006953,0.9724655488951016,0.07658954195480432,2025-12-20 18:20:04,train
9,0.7266539735417357,0.9738111917951465,0.07522572395680226,2025-12-20 18:21:51,train
10,0.7234531731010133,0.9724068430672704,0.07610528530404631,2025-12-20 18:23:38,train
11,0.7344856009203968,0.974805308654245,0.07314962178336835,2025-12-20 18:25:21,train
12,0.7397894854075714,0.9751304356397781,0.07143761797816353,2025-12-20 18:27:05,train
13,0.7471031212048804,0.9762462852275477,0.06903273533139609,2025-12-20 18:28:47,train
14,0.749673843350654,0.9765608458392387,0.0677796942470348,2025-12-20 18:30:31,train
15,0.7486352567294463,0.9763096497122166,0.06926477041128462,2025-12-20 18:32:21,train
16,0.7554488646966823,0.9771074278164754,0.06558510644641598,2025-12-20 18:34:09,train
17,0.7649764247954076,0.9783462254347,0.06213539228898234,2025-12-20 18:35:51,train
18,0.7660156021791891,0.9786831003374759,0.06273904281248034,2025-12-20 18:37:32,train
19,0.7668423105830541,0.9784804150066545,0.06222622289396493,2025-12-20 18:39:13,train
20,0.7741653556856756,0.9795481926572006,0.06125587554632035,2025-12-20 18:40:55,train
21,0.7723980905004624,0.9793463512859514,0.05970482655133294,2025-12-20 18:42:37,train
22,0.7779611080418876,0.980017265387341,0.05878641097023424,2025-12-20 18:44:23,train
23,0.773109094788851,0.9795502181601735,0.06099193464074515,2025-12-20 18:46:09,train
24,0.7797746130847206,0.9799087321863765,0.060880836165320557,2025-12-20 18:47:53,train
25,0.7816161771478196,0.980416559540065,0.058133644702951466,2025-12-20 18:49:34,train
26,0.7822801147657831,0.9805818068242707,0.05854708399722534,2025-12-20 18:51:19,train
27,0.7839334814556864,0.9807411801498548,0.05756095969901148,2025-12-20 18:53:03,train
28,0.786556370232906,0.9810255607672497,0.05680962889331632,2025-12-20 18:54:44,train
29,0.7889662065809738,0.9813069368885682,0.056230286927481665,2025-12-20 18:56:29,train
30,0.7935117725473779,0.9818009233052751,0.055000083405623394,2025-12-20 18:58:14,train
31,0.7955509300879158,0.9821162603597725,0.054601782454853566,2025-12-20 18:59:56,train
32,0.8033262850398177,0.9828298788155074,0.051159145030300175,2025-12-20 19:01:42,train
33,0.8059512546222155,0.9832484490048569,0.05097259363505693,2025-12-20 19:03:26,train
34,0.8121460030220102,0.9836618204032426,0.05021174271813536,2025-12-20 19:05:11,train
35,0.8123958399109539,0.9837974278272781,0.048655944423074214,2025-12-20 19:06:59,train
36,0.8148123181108484,0.9842154578825014,0.04856829721052035,2025-12-20 19:08:45,train
37,0.8139199533220132,0.9840725248893806,0.047204080491071256,2025-12-20 19:10:28,train
38,0.8195284028797758,0.9844531168979881,0.04663227711169593,2025-12-20 19:12:09,train
39,0.8200250592887803,0.9846857121560426,0.04684876096723354,2025-12-20 19:13:49,train
40,0.8199440877448307,0.984513341853049,0.046887384200122506,2025-12-20 19:15:29,train
41,0.8217078703964278,0.9848199692447629,0.046813854205924856,2025-12-20 19:17:08,train
42,0.8245495961043017,0.9851682882393356,0.04546589849401364,2025-12-20 19:18:47,train
43,0.8271498422597882,0.9855282201176196,0.04576099265070088,2025-12-20 19:20:32,train
44,0.8277076259083003,0.9855611345409292,0.044064043106231014,2025-12-20 19:22:15,train
45,0.8280936415285693,0.9854909508629183,0.045139531893408406,2025-12-20 19:23:53,train
46,0.8290629458716752,0.9855793303093024,0.04400004014636563,2025-12-20 19:25:34,train
47,0.8295651259495098,0.9857436661171702,0.044128570854004505,2025-12-20 19:27:11,train
48,0.8325576560933817,0.9861081891355261,0.04254341066147374,2025-12-20 19:28:48,train
49,0.8336584967604266,0.986047761630168,0.04334241433679003,2025-12-20 19:30:26,train
50,0.8317094266915053,0.9859780505695174,0.04343619350904385,2025-12-20 19:32:02,train
51,0.8340986009583742,0.9862297868306658,0.04218320833700421,2025-12-20 19:33:39,train
52,0.8344685806401563,0.9862275587773957,0.04366379793304785,2025-12-20 19:35:15,train
53,0.8400341239747389,0.9867529404901825,0.04119542412525785,2025-12-20 19:36:52,train
54,0.8387854225958469,0.9866366428611553,0.040886952104953536,2025-12-20 19:38:31,train
55,0.8422036113206833,0.9870412708383746,0.03987657699107596,2025-12-20 19:40:12,train
56,0.8388319059686318,0.9865534959641178,0.04129124080053473,2025-12-20 19:41:53,train
57,0.8351593025404798,0.9861918424083068,0.04382745456774678,2025-12-20 19:43:35,train
58,0.8410463362463263,0.9867889606847172,0.04096589799541815,2025-12-20 19:45:18,train
59,0.8426454189105057,0.9871201304207861,0.0393700519725021,2025-12-20 19:47:04,train
60,0.8422853709558917,0.9868882103303892,0.0405484904922479,2025-12-20 19:48:49,train
61,0.8408027089163582,0.9868162712164684,0.04086500866157291,2025-12-20 19:50:36,train
62,0.840389548256602,0.9868698457701016,0.041486144131791275,2025-12-20 19:52:20,train
63,0.8404978583646447,0.9867021341239457,0.04132375182105904,2025-12-20 19:54:05,train
64,0.8425665393252352,0.9870945753249447,0.03967112817068016,2025-12-20 19:55:49,train
65,0.847854925959741,0.9873233896441165,0.038596291490624435,2025-12-20 19:57:33,train
66,0.8477009151548505,0.987608749254615,0.03834615077460762,2025-12-20 19:59:18,train
67,0.8440137016313691,0.9871338025658531,0.03999351818872764,2025-12-20 20:01:03,train
68,0.8493773213047132,0.9876331565654384,0.038219569465227886,2025-12-20 20:02:50,train
69,0.8458049660789011,0.9873048900502973,0.03998608267412777,2025-12-20 20:04:37,train
70,0.8496600039094964,0.9877491841274025,0.037871657590488945,2025-12-20 20:06:22,train
71,0.8502741880047218,0.9878126836456029,0.038438845244524754,2025-12-20 20:08:03,train
72,0.8513227876495904,0.9877572186225283,0.03747712871867471,2025-12-20 20:09:48,train
73,0.8531770920437826,0.9879538612028139,0.037049254039879395,2025-12-20 20:11:35,train
74,0.8526345723138575,0.9880049038777309,0.03768936269380878,2025-12-20 20:13:20,train
75,0.8556281020220533,0.9881513815010543,0.03741469750164357,2025-12-20 20:15:04,train
76,0.8520049927530999,0.9879422483191026,0.036848955507497345,2025-12-20 20:16:47,train
77,0.8546275616620198,0.9880940260085385,0.03682347068118047,2025-12-20 20:18:33,train
78,0.8566994456356628,0.9883234817369849,0.03626125856442789,2025-12-20 20:20:15,train
79,0.8572944400206726,0.9883793518606541,0.03562928043899283,2025-12-20 20:21:57,train
80,0.8547131317968877,0.9881064828518218,0.035826271399855614,2025-12-20 20:23:37,train
81,0.8537959894003622,0.9881964827005842,0.03736458784711044,2025-12-20 20:25:20,train
82,0.8551748653811915,0.9882593408095098,0.0364114997034843,2025-12-20 20:27:01,train
83,0.8568326202817523,0.9884370449369988,0.03641462650776437,2025-12-20 20:28:46,train
84,0.8572305659679473,0.988330604755773,0.03579446580260992,2025-12-20 20:30:33,train
85,0.8587795837949505,0.9885166809622166,0.03572549906649948,2025-12-20 20:32:17,train
86,0.8600101788915339,0.9887061330069483,0.035308113057924584,2025-12-20 20:34:00,train
87,0.8591273617817704,0.988556482095634,0.035125280260644126,2025-12-20 20:35:42,train
88,0.8609838687841032,0.988798327150598,0.03471395192024982,2025-12-20 20:37:24,train
89,0.8601087129263529,0.9886734548923188,0.03481070483020977,2025-12-20 20:39:07,train
90,0.8623119263127776,0.9888527119054203,0.03406609657459554,2025-12-20 20:40:50,train
91,0.8621963376262216,0.9887442462212217,0.03506480742542617,2025-12-20 20:42:39,train
92,0.8654693337207718,0.9890377753603775,0.034058941346881665,2025-12-20 20:44:24,train
93,0.8675240128729789,0.9893383937599385,0.033251388839124575,2025-12-20 20:46:09,train
94,0.8694611554126463,0.9896052537766178,0.032121500362996505,2025-12-20 20:47:55,train
95,0.8699979694372182,0.9895865178741186,0.0325266160235732,2025-12-20 20:49:48,train
96,0.8692031405941439,0.9894979358774371,0.03267843990001531,2025-12-20 20:51:31,train
97,0.8701671819702405,0.9896117353861311,0.03338253155218816,2025-12-20 20:53:20,train
98,0.8717474625592405,0.9897107149647401,0.03257941951629071,2025-12-20 20:55:00,train
99,0.8690102695810469,0.9895089073518736,0.0324115770234339,2025-12-20 20:56:38,train
100,0.8735056514423458,0.9898186405148126,0.030781903477237287,2025-12-20 20:58:16,train
101,0.8723463558894897,0.9897962587069621,0.031157799905775923,2025-12-20 20:59:54,train
